FILENAME,url,URLLength,Domain,DomainLength,IsDomainIP,tld,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
7945877.txt,https://midcoaccountsecurity.web.app/,36,midcoaccountsecurity.web.app,28,0,app,43.59605911,0.875,0.001502,0.057804724,3,1,0,0,0,26,0.722,0,0,0,0,0,2,0.056,1,73,108957,1,midcoaccountsecurityweb,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,1,0,0,0,3,0,Valuable
8094143.txt,https://proton-account-protection.surge.sh/account/remove-unrecognize-apps/?email=user@example.org,98,proton-account-protection.surge.sh,34,0,sh,16.90788224,0.35483871,0.0003027,0.06249754,2,1,0,0,0,77,0.786,0,0,1,1,0,11,0.133,1,2,7062,1,proton-account-protectionsurgeaccountremove-unrecognize-apps?email=user@exampleorg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Valuable
8005633.txt,https://secure341.inmotionhosting.com/~n9aace5/so/movile/home/particulares.php,77,secure341.inmotionhosting.com,29,0,com,37.73153205,0.76,0.5229071,0.059246077,3,1,0,0,0,55,0.714,5,0.065,0,0,0,9,0.117,1,9,113,1,secure341inmotionhosting~n9aace5somovilehomeparticularesph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Valuable
oph04464.txt,https://storage.yandexcloud.net/auth-sign-ir9had18du826qih375wox9b6bw32skhgb1o5x0q3vl/index.html,96,storage.yandexcloud.net,23,0,net,26.5701899,0.631578947,0.0384199,0.036673692,3,1,0,0,0,64,0.667,17,0.177,0,0,0,7,0.073,1,3,45301,0,0,0,1.219512195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,Valuable
m2w00051.txt,http://www.https.accounts.google.com.ttcysuttlart1999.aylandirow.tmf.org.ru,74,www.https.accounts.google.com.ttcysuttlart1999.aylandirow.tmf.org.ru,68,0,ru,24.26146384,0.278688525,0.0180132,0.053583441,2,8,0,0,0,51,0.689,4,0.054,0,0,0,8,0.108,1,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8041861.txt,https://www-aeon-co-jp.meh3e.com/auth/login.php,46,www-aeon-co-jp.meh3e.com,24,0,com,29.03353057,0.3,0.5229071,0.053588172,3,1,0,0,0,29,0.63,1,0.022,0,0,0,8,0.174,1,106,2479,1,www-aeon-co-jpmeh3eauthloginph,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,Valuable
8065265.txt,https://my-securedoc-comptashield.vercel.app/,45,my-securedoc-comptashield.vercel.app,36,0,app,37.24140807,0.40625,0.001502,0.058911167,3,1,0,0,0,32,0.711,0,0,0,0,0,5,0.111,1,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valuable
8098683.txt,https://signingatt7.wixsite.com/my-site,39,signingatt7.wixsite.com,23,0,com,49.19354839,0.631578947,0.5229071,0.054191527,3,1,0,0,0,26,0.667,1,0.026,0,0,0,4,0.103,1,64,151,1,signingatt7wixsitemy-site,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,1,0,Valuable
8047551.txt,http://www.kueronekayacotn-co-jp.kuerocekayacoto.shopsijiu.top/ai/?authenticated=true&amp;openid%2fgp%2fsignin%2fx%26i%3da%26oauth%3dm%26i%3fie%3dutf8%26ref_%3drhf_custrec_signinebe3bc19c5f3b08b566b3ff680f0c7b81e2cd87b,218,www.kueronekayacotn-co-jp.kuerocekayacoto.shopsijiu.top,55,0,top,6.335081871,0.340425532,0.0002752,0.041901677,3,3,1,12,0.055,143,0.656,38,0.174,1,1,12,12,0.119,0,474,780,1,kueronekayacotn-co-jpkuerocekayacotoshopsijiuai?authenticated=true&amp;openid%2fgp%2fsignin%2fx%26i%3da%26oauth%3dm%26i%3fie%3dutf8%26ref_%3drhf_custrec_signinebe3bc19c5f3b08b566b3ff680f0c7b81e2cd87b,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,2,1,0,0,0,0,Valuable
8080764.txt,http://43.159.48.238/interactivelogin?continue=https://accounts.google.com/?&amp;xrealip=35.203.255.103&amp;followup=https://accounts.google.com/?&amp;xrealip=35.203.255.103&amp;passive=1209600&amp;xrealip=35.203.255.103&amp;ifkv=awnoghckhl-w6waflw9ujsklc5pm0gnhsl0n_ppvmglbc5z8pezrjinl9_7znxhpoicbt5cc7fotpq,308,43.159.48.238,13,1,238,2.4716201,0.444444444,0,0.039202044,3,2,0,0,0,180,0.584,61,0.198,7,3,0,34,0.143,1,11,558,1,4315948interactivelogin?continue=accountsgooglecom?&amp;xrealip=35203255103&amp;followup=accountsgooglecom?&amp;xrealip=35203255103&amp;passive=1209600&amp;xrealip=35203255103&amp;ifkv=awnoghckhl-w6waflw9ujsklc5pm0gnhsl0n_ppvmglbc5z8pezrjinl9_7znxhpoicbt5cc7fotpq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Valuable
