FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,For Visual
109011.txt,https://www.famousauthors.org,28,www.famousauthors.org,21,0,org,100,1,0.0799628,0.061648419,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,452,1177,1,famousauths,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,3,7,279,0,278,1,Valuable
460736.txt,https://www.accounts4tutorials.com,33,www.accounts4tutorials.com,26,0,com,100,0.555555556,0.5229071,0.062781362,3,1,0,0,0,19,0.576,1,0.03,0,0,0,1,0.03,1,4105,10787,1,acunts4tutorials,0,0,1,0,0,1,0,0,1,5,0,1,1,1,0,1,0,0,1,17,3,17,113,0,130,1,Valuable
35290.txt,https://www.nowsecure.com,24,www.nowsecure.com,17,0,com,100,1,0.5229071,0.06795848,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1618,20059,1,nowsecure,100,100,1,1,1,0,0,1,0,2,0,1,0,1,0,1,0,0,1,59,19,54,74,14,100,1,Valuable
511821.txt,https://www.backwoodsauthor.com,30,www.backwoodsauthor.com,23,0,com,100,1,0.5229071,0.060383048,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,881,13428,1,backwoodsauthor,100,100,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,18,16,54,40,0,38,1,Valuable
384981.txt,https://www.qusecure.com,23,www.qusecure.com,16,0,com,100,1,0.5229071,0.061007334,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,9253,17735,1,qusecure,100,100,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,31,7,24,93,2,103,1,Valuable
238047.txt,https://www.claimsecure.com,26,www.claimsecure.com,19,0,com,100,1,0.5229071,0.069147746,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2148,793,1,claimsecure,100,100,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,22,1,10,163,11,34,1,Valuable
575966.txt,https://www.taramillsauthor.com,30,www.taramillsauthor.com,23,0,com,100,1,0.5229071,0.063443241,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1193,1350,1,taramillsauthor,100,100,0,0,1,0,0,1,0,3,0,1,0,1,0,0,1,0,0,10,5,12,53,1,11,1,Valuable
541102.txt,https://www.gadsaccounts.com,27,www.gadsaccounts.com,20,0,com,100,1,0.5229071,0.064314923,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2280,33770,1,gadsacunts,0,0,0,1,1,0,0,1,0,2,1,1,1,1,1,0,1,1,1,29,22,37,83,11,84,1,Valuable
545249.txt,https://www.designingdisney.com,30,www.designingdisney.com,23,0,com,100,1,0.5229071,0.056378918,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,636,425,1,designingdisney,100,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,15,1,3,60,3,5,1,Valuable
886987.txt,https://www.nonsportupdate.com,29,www.nonsportupdate.com,22,0,com,100,1,0.5229071,0.062872133,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,494,267,1,nonsportupdate,100,100,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,12,4,6,30,0,50,1,Valuable
230350.txt,https://www.tourismupdate.co.za,30,www.tourismupdate.co.za,23,0,za,100,0.875,0.0018398,0.057827357,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,784,6594,1,tourismupdateco,0,0,1,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,41,7,18,162,0,34,1,Valuable
